COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15125 
 NOMBRE    : TEXCOCO (DGE) 
 ESTADO    : MÉXICO 
 MUNICIPIO : TEXCOCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.50555556 ° 
 LONGITUD  : -98.88194444 ° 
 ALTITUD   : 2250 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2010	-1	-1	1	5	5	10	8	8	2	1	-5	-5		2.3	12
2011	0	0	0	7	5	4	8	7	1	-2	-3	0		2.2	12
2012	1	3	2	1	5	7	7	8	7	3	1	-1		3.7	12
2013	0	1	-1	6	6	7	7	7	9	4	3	-1		4	12
2014	-1	1	4	5	6	10	8	7		5	2	3		4.5	11
2015	1	2	4	5	8	8	7	8	7		4	3		5.2	11
2016	0	0	3	6	2	8	4	8	8	6	0.4	2		4	12
2017	1	2	2	4	7	6	9	8	0.11	3	-1	-4		3.1	12
2018	-2	3	4	4	6	8	8	8	9	6	1	-1		4.5	12
2019	0	2	2	5	7	9	9	7	6	9	5	1		5.2	12
2020	0	3	5	8	6	7	7	8	8	2	1	1		4.7	12
2021	0	0	1	2	7	8	7	7	7	5	1	0		3.8	12
2022	1	3	2	6	6	7	9	8	6	5	4	1		4.8	12
2023	1	0	3	6	6	9	9	8	5	5	2	0		4.5	12
2024	1	0	5											2	3
MÍNIMA	-7	-5	-5.5	-1	2	0	3	3	-3.5	-5	-5.5	-6		-0.1	1
MÁXIMA	7	3	5	10	8	10	9	8.5	10	9	5	3		7	12
MEDIA	-1.4	0	1.1	4.2	5.2	6.3	6.7	6.5	4.7	2.4	-0.5	-1.3		2.8	10.9
DESV.ST	2.9	2.3	2.4	2.4	1.7	2.4	1.9	1.7	3.1	3.2	2.8	2.4		1.7	2.9

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978	12.3	13.3	14.6	17.7	18.4	17.6	16.6	16.5	15.9	14.7	14	13.1		15.4	12
1979	12.3	13.6	15.4	17.4	17.9	17.3	17	16.1	14.9	14.5	13	12.4		15.2	12
1980	12.2	13.1	16.8	17	19.1	17.8	17.6	17.4	16.9	16.1	13.3	11.4		15.7	12
1981	10.2	13.8	15.6	17.2	18.6	18	16.5	17	16.4	16.5	12	12.4		15.3	12
1982	13.2	13.7	16.4	18.8	18.8	18.3	17.1	16.8	17.1	15.3	13.8	12.7		16	12
1983	11.6	11.5	14.7	18.3	20.7	19.4	18	17.1	17	15.4	14.1	12.8		15.9	12
1984	11.9	13.7	15.8	18.6	17.6	18.1	16.7	16.3	15.9	16.2	12.8	12		15.5	12
1985	11.9	13.2	16	16.4	17.6	17.4	16.1	17	16.7	15.3	13.8	12.6		15.3	12
1986	10.6	13.4	14.1	18	18.6	18	16.4	17.1	17.2	16.3	14.7	12.8		15.6	12
1987	12.2	13.8	14.9	16.1	17.4	17.4	16.6	17	17.5	14	13.4	12.8		15.3	12
1988	10.9	14.2	15.1	18	19	17.7	17.1	17.7	16.1	15.2	13.1	11.3		15.4	12
1989	12.8	12.2	15.4	15.4	18	17.6	16.5	16.7	15.6	13.8	15.3	12.2		15.1	12
1990	13.2	14	15.9	18.9	18.4	18.2	16.6	16.8	16.4	16.8	14.6	13.5		16.1	12
1991	13.1	15.1	19.7	20.7		17.9	16.6	16.6	15.8	15.8	13.1	12.9		16.1	11
1992	11.1		15.5	16.1										14.2	3
2001	9.8	11.2	12.2	14.9	13.9	15.2	14.3	14	13.6	12	10	10		12.6	12
2002	16.8													16.8	1
2004										16.8	15.1	12.5		14.8	3
2005	13.2	12.4	14.8	14.3	15.2	14.6	13.6	13.4	13.2	11.8	14.3	13.6		13.7	12
2006	12.6	15.1	16	18.1	18	17.2	17.3	17.2	17.8	17.1	14.4			16.4	11
2007	14.8	16	17.4	18	20.2	20	17.9	17	14.8	15.7	14.8	14.9		16.8	12
2008	13.6	15	17.4	18.2	18	16.7	16.8	17.5	17	15.9	13.8	12.8		16.1	12
2009	13	14.4	15.7	19.1	18	17.9	18	17.7	17.9	18	15.1	15.4		16.7	12
2010	14	14.1	17.2	18.4	18.8	19.2	16.8	17.3	17.5	15.9	16	13.3		16.5	12
2011	13.9	15.8	16.4	19	19.6	17.4	16.6	17	15.5	15.2	14.8	13.8		16.2	12
2012	13.4	13.9	16.2	16.1	18	17.4	15.8	16.1	17	16	14.1	13.8		15.7	12
2013	13.8	15.4	15.6	17.9	18	17.1	16.6	16.2	16.6	16.2	15.1	14.4		16.1	12
2014	12.8	15.9	17	17.9	17.6	17.2	16.2	16.5		16.4	15.1	13.9		16	11
2015	13.3	15	15.9	17.6	17.2	16.9	16.5	17.1	16.8		16.4	14.8		16.1	11
2016	12.6	14	15.9	17.8	18.5	16.3	16.6	16.9	17	16.5	14.8	14.9		16	12
2017	13.6	14.5	15.6	17.1	18.8	18	16.4	17.3	16.4	16.2	14.2	12.7		15.9	12
2018	11.9	14.9	17.2	17.3	17.9	17.2	16.6	16.6	17	16.9	14.9	12.9		15.9	12
2019	12.8	15.9	17.1	17.8	19.1	17.9	16.5	17	17	17.5	16.3	13.9		16.6	12
2020	13.8	15.8	17.6	19.1	18.1	17.7	17	16.8	16.4	16.1	14.9	13.9		16.4	12
2021	13.9	14.9	17.1	18	17.9	16.7	16.3	16.2	16.1	16.7	14.3	13.3		15.9	12
2022	12.8	14.1	15.9	17.9	18.7	16.9	16.8	16.2	16.7	15.8	15.2	13.3		15.9	12
2023	13.4	14.3	16.6	17.6	17.6	19.6	17.5	17	17.3	16.6	15.6	14.3		16.4	12
2024	14.1	15.4	18.4											16	3
MÍNIMA	9.8	11.2	12.2	14.3	13.9	14.6	13.6	13.4	13.2	11.8	10	10		12.6	1
MÁXIMA	16.8	16	19.7	20.7	20.7	20	18	17.7	17.9	18	16.4	15.4		16.8	12
MEDIA	12.8	14.2	16.1	17.6	18.2	17.6	16.6	16.7	16.4	15.7	14.3	13.2		15.7	10.9
DESV.ST	1.3	1.2	1.3	1.3	1.2	1.1	0.9	0.9	1.1	1.3	1.2	1.1		0.8	2.9
