COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15125 
 NOMBRE    : TEXCOCO (DGE) 
 ESTADO    : MÉXICO 
 MUNICIPIO : TEXCOCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.50555556 ° 
 LONGITUD  : -98.88194444 ° 
 ALTITUD   : 2250 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1988	22.1	24.7	24.6	27.9	28.9	24.9	23.7	25.3	23.8	23.5	24.9	22.8		24.8	12
1989	23.5	23.1	25.6	25.6	28.1	26.4	23.9	23.9	22.5	23	25.8	22.2		24.5	12
1990	24.1	24.2	26.1	27.2	28.2	26.3	23.2	24	24	25	24.2	23.7		25	12
1991	24.5	26.6	30.5	30.2		25.8	23.5	24.7	24.3	25.5	22.9	23.2		25.6	11
1992	22.1		25.1	25.4										24.2	3
2001	18.5	20.8	22.4	23.9	22.2	22	21.6	21.1	20.2	19.9	18.2	18.9		20.8	12
2002	23.5													23.5	1
2004										23.5	24.8	22.1		23.5	3
2005	23.3	21.1	25.8	24.7	26.4	25.4	23.6	23.1	22.9	20.5	23.7	23.1		23.6	12
2006	23.2	25.2	26.6	27.8	25.1	23.6	23.5	23	23.2	23.5	21.9			24.2	11
2007	24.9	26.5	28.8	27.4	29.7	29.2	24.6	23.1	25.9	24	25.9	26.6		26.4	12
2008	24.8	26.2	27.7	26.5	26	22.8	22.7	23.9	23	24	24.2	24.3		24.7	12
2009	22.7	25	26.4	28.8	25.4	24.3	25	24.9	23.9	25.4	24.6	24.8		25.1	12
2010	23.1	22.5	27.6	28.4	26.8	26.8	22.3	23.3	24.1	25.6	25.4	25.5		25.1	12
2011	24.6	25.7	28	28.3	28	24.4	21.5	23.4	21.9	24	23.8	24.5		24.8	12
2012	23	21.4	26.3	25.3	26.3	23.4	20.7	21.4	23.8	25.4	23.2	24.3		23.7	12
2013	23.2	26.4	24.9	26.6	25.6	23.4	22.5	22.4	21.7	23.2	22.8	24.2		23.9	12
2014	22.7	26.8	26.1	26.4	24.7	22.2	22	22.9		22.5	23.2	22		23.8	11
2015	22.2	24.2	23.5	25.6	23.5	22.1	22.5	23.5	22.3		23.8	23.7		23.4	11
2016	20.7	23.4	23.8	26.9	25.9	21.6	22.3	22.8	23.1	24.1	22.5	24		23.4	12
2017	24.3	24.9	25.1	25.8	26.6	24.8	21.7	22.9	21.6	23.3	24.4	23.3		24.1	12
2018	21.7	24	27.3	25.8	25.9	22.8	23	22.2	22.5	23.5	23	22.2		23.7	12
2019	22.5	26.1	27.3	27	27.5	23.3	22	23.8	23.4	24.1	24.8	24.3		24.7	12
2020	23.4	25.4	27.5	27.3	25.7	24.3	23.1	22.3	21.9	25.2	24.6	22.8		24.5	12
2021	23.6	25.4	27.8	27.9	24.8	21.7	22.1	21.8	21.5	23.9	24	23.5		24	12
2022	21.7	23.2	25.7	26.4	27.5	23.3	22.6	21.8	22	23	24.1	23.2		23.7	12
2023	23.9	24.7	26.6	26.1	25.2	27.4	23.1	22.7	24.7	23.1	24.1	22.7		24.5	12
2024	23.2	25.7	28.2											25.7	3
MÍNIMA	18.5	20.8	22.4	23.9	22.2	21.6	20.7	21.1	20.2	19.9	18.2	18.9		20.8	1
MÁXIMA	26	26.8	30.5	31.3	32	29.7	27.1	26.4	26.8	26.8	26.4	26.6		27	12
MEDIA	23.1	24.6	26.6	27.3	27	24.9	23.5	23.7	23.5	24.2	24	23.6		24.6	10.9
DESV.ST	1.4	1.5	1.7	1.8	2	2.2	1.6	1.4	1.5	1.5	1.4	1.3		1.2	2.9

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978	27	29	31	34	34	29.5	27.5	28.5	28	27	26.5	26.5		29	12
1979	29	28.5	32	31	32.5	31	29	27	26	30	28	25.5		29.1	12
1980	27.5	29.5	32.5	33	33	33	30	28.5	28	30.5	26.5	27		29.9	12
1981	27.5	30	31.5	33	31.5	30	28	28.5	28.5	37	27	28		30	12
